val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/labels/train2017.cache... 126 images, 2 backgrounds, 0 corrupt: 100%|██████████| 128/128 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [21:27<00:00, 160.91s/it]
                   all        128        929      0.829      0.716      0.822      0.658
                person         61        254      0.918      0.706      0.869      0.679
               bicycle          3          6          1      0.467      0.789      0.605
                   car         12         46      0.988      0.304      0.598      0.364
            motorcycle          4          5      0.825          1      0.995      0.836
              airplane          5          6          1      0.997      0.995      0.968
                   bus          5          7          1      0.796      0.902      0.786
                 train          3          3      0.841          1      0.995      0.995
                 truck          5         12      0.901        0.5      0.664      0.432
                  boat          2          6          1      0.648      0.837      0.585
         traffic light          4         14          1      0.277      0.508      0.283
             stop sign          2          2      0.833          1      0.995      0.923
                 bench          5          9      0.991      0.778       0.87      0.577
                  bird          2         16      0.968          1      0.995      0.721
                   cat          4          4      0.876          1      0.995      0.919
                   dog          9          9      0.864          1      0.995      0.924
                 horse          1          2      0.756          1      0.995      0.701
              elephant          4         17       0.97      0.941      0.949      0.849
                  bear          1          1      0.685          1      0.995      0.895
                 zebra          2          4      0.877          1      0.995      0.977
               giraffe          4          9      0.877          1      0.995      0.791
              backpack          4          6          1      0.487      0.809      0.614
              umbrella          4         18      0.849      0.833      0.919      0.734
               handbag          9         19      0.832       0.26      0.491      0.348
                   tie          6          7          1      0.698      0.863      0.628
              suitcase          2          4          1      0.724      0.945      0.691
               frisbee          5          5      0.811        0.8      0.878      0.736
                  skis          1          1      0.706          1      0.995      0.796
             snowboard          2          7      0.945      0.857      0.873      0.778
           sports ball          6          6      0.784      0.614      0.645      0.484
                  kite          2         10      0.519        0.2      0.231     0.0925
          baseball bat          4          4      0.668       0.75      0.849       0.59
        baseball glove          4          7      0.797      0.429      0.551      0.366
            skateboard          3          5          1      0.918      0.995      0.581
         tennis racket          5          7      0.903      0.714      0.719      0.375
                bottle          6         18      0.615      0.356      0.733      0.482
            wine glass          5         16      0.952        0.5      0.801      0.586
                   cup         10         36      0.843      0.595      0.811      0.598
                  fork          6          6      0.716      0.432       0.55      0.406
                 knife          7         16      0.728      0.502      0.798      0.582
                 spoon          5         22      0.806      0.568      0.719      0.571
                  bowl          9         28      0.822      0.714      0.776      0.682
                banana          1          1      0.631          1      0.995      0.995
              sandwich          2          2      0.934          1      0.995      0.995
                orange          1          4          1          0      0.895      0.698
              broccoli          4         11          1      0.263      0.424      0.353
                carrot          3         24      0.814      0.547      0.755       0.56
               hot dog          1          2      0.609          1      0.828      0.828
                 pizza          5          5      0.718          1      0.995       0.84
                 donut          2         14      0.876          1      0.995      0.919
                  cake          4          4      0.819          1      0.995      0.909
                 chair          9         35       0.74        0.6      0.735      0.544
                 couch          5          6      0.955      0.833      0.909      0.731
          potted plant          9         14      0.901      0.653        0.8      0.609
                   bed          3          3      0.758      0.667      0.913       0.72
          dining table         10         13      0.554      0.692      0.755      0.642
                toilet          2          2      0.862          1      0.995      0.995
                    tv          2          2      0.656          1      0.995      0.895
                laptop          2          3      0.622      0.667      0.789      0.608
                 mouse          2          2          1          0      0.398      0.229
                remote          5          8      0.916      0.625      0.675       0.64
            cell phone          5          8      0.794      0.625      0.647      0.434
             microwave          3          3      0.654          1      0.995      0.844
                  oven          5          5      0.467        0.4      0.435       0.35
                  sink          4          6      0.535        0.5      0.402      0.301
          refrigerator          5          5      0.839        0.8      0.962      0.836
                  book          6         29      0.732       0.19      0.479      0.322
                 clock          8          9      0.767      0.778      0.905       0.77
                  vase          2          2       0.66          1      0.995      0.945
              scissors          1          1      0.771          1      0.995      0.199
            teddy bear          6         21      0.928      0.618      0.811      0.596
            toothbrush          2          5      0.912          1      0.995      0.895
Speed: 5.4ms preprocess, 10036.4ms inference, 0.0ms loss, 0.3ms postprocess per image
